,Gene,Mean Diff,Initial p-val,Adjusted p-values,Reject?
FAM234B,FAM234B,0.38079030814972725,0.011353723679468805,0.1527366956008541,False
SMPDL3A,SMPDL3A,-0.0712845648897833,0.7570061981614604,0.8950270514871373,False
LTBP2,LTBP2,-0.016579291327396106,0.9133907518027173,0.9681997331716247,False
OMG,OMG,0.25905249489391124,0.486170666330327,0.7351726420579296,False
TBC1D12,TBC1D12,-0.04396779195057121,0.6797975546654995,0.853345584532251,False
ZNF846,ZNF846,0.0029521377673304983,0.9846444612312244,0.9941185732415315,False
BAD,BAD,-0.29726454784907475,0.10734315370471974,0.3869507172219362,False
ZNF71,ZNF71,0.11870601701760108,0.5374414917424011,0.7694601682157204,False
PIN4,PIN4,0.1126708002885266,0.5637625093415339,0.7845881962675554,False
MICALL1,MICALL1,-0.042427084812374005,0.8655769467879237,0.9458965739060283,False
FAH,FAH,-0.24848267160241377,0.048028046013007135,0.2819918730031931,False
APEX2,APEX2,0.17972738859177184,0.30096554455308167,0.5981614460188832,False
TBP,TBP,0.20033868226069274,0.02287786057747721,0.2071245824326733,False
NBPF20,NBPF20,0.2360031385364323,0.49119429009574866,0.7393987893022802,False
KLHDC8B,KLHDC8B,-0.5468722037107803,0.09833825475544845,0.37298392962381277,False
SIRPG,SIRPG,0.29944422184045294,0.18299929285645233,0.4821018277536416,False
C1orf50,C1orf50,-0.058904083810752184,0.5960208506231728,0.8068982381943443,False
CEP55,CEP55,1.4394445468662838,0.00029488725839317114,0.031242345337151187,True
FIZ1,FIZ1,-0.0352303580282296,0.8744179991536914,0.9506079636468798,False
CAMTA1,CAMTA1,-0.03549437832981539,0.8286605474146165,0.9288251944433761,False
NCKAP5L,NCKAP5L,-0.1402563758716937,0.6037216811697337,0.811443135998949,False
SAT2,SAT2,-0.11587086718842698,0.46763994834738243,0.7236324080125707,False
CCDC15,CCDC15,0.3386465123012634,0.1382541469725109,0.42882079934453354,False
ZFP28,ZFP28,0.12465921126061019,0.5242094448634735,0.7605068011030709,False
PPP1R37,PPP1R37,-0.010753352215836287,0.9496555781564131,0.9826302382790733,False
MEGF8,MEGF8,0.08882691044564694,0.6275633366045816,0.8261050420917135,False
MED27,MED27,0.16415447088436608,0.3413108758064348,0.6312399491173056,False
WDSUB1,WDSUB1,0.1413652528559055,0.15167943663182817,0.4451950569448316,False
PRR4,PRR4,0.26068416539642314,0.23002092349686543,0.5348126634727695,False
HPF1,HPF1,0.5163386741907168,0.010347930333989088,0.14605447746824704,False
ELAC1,ELAC1,0.15381875797190858,0.44183982275693456,0.7068494069505282,False
NETO2,NETO2,0.16570706889848097,0.4154342474536822,0.6872667856760004,False
TAGLN,TAGLN,0.12083916834015795,0.6640440159016867,0.8439911298087117,False
COPS9,COPS9,0.03852376570829463,0.8084343536222321,0.9206627860598579,False
DIP2C,DIP2C,0.5178771580282628,0.016898885772043692,0.1806411581127736,False
HIST1H3A,HIST1H3A,0.42087691559578033,0.36599509395096397,0.6512094084385004,False
MAMDC4,MAMDC4,-0.3170453870464769,0.11197588159862723,0.3925703059186086,False
ARMC2,ARMC2,0.12079116248435895,0.5833460205468592,0.7990984781873263,False
HSPA1L,HSPA1L,-0.1988070050330002,0.18635192910208764,0.48532906231526574,False
